plot,treeno,species,logged,h2015,D,H,HCB,CL,grade,deadr,d/D,D2,BA individ,BA,QMD,MD,DH,S,CWE,CWW,CWS,CWN,quality,hurttyp,tree_type,coordinate_x,coordinate_y,subplotno,absx,absy,MT,cw
YLK-1,39,ÀäÉ¼,1,,20.9,18.7,4.1,14.6,2,,1.085618526,436.81,0.034290 ,14.430700 ,19.251698 ,15.071831 ,29,71,1.816,0.783,3.517,1.34,1,,N,2.186,8.069,30,32.186,8.069,T,3.728
YLK-1,40,é²Ê÷,1,,7.2,9,3.8,5.2,4,,0.373992985,51.84,0.004069 ,14.430700 ,19.251698 ,14.988571 ,29,70,1.685,0.461,1.375,2.127,2,,N,4.859,2.943,30,34.859,2.943,T,2.824
YLK-1,43,é²Ê÷,1,,9.5,11.4,4.6,6.8,4,,0.493462966,90.25,0.007085 ,14.430700 ,19.251698 ,15.101449 ,29,69,2.621,2.015,2.537,1.256,2,,N,5.186,2.565,30,35.186,2.565,T,4.2145
YLK-1,45,ÀäÉ¼,1,,22.5,18.6,7.8,10.8,4,,1.168728078,506.25,0.039741 ,14.430700 ,19.251698 ,15.183824 ,29,68,3.827,1.779,3.755,2.296,1,,B,4.795,0.27,30,34.795,0.27,T,5.8285
YLK-1,47,ÀäÉ¼,1,,14.1,13.2,6,7.2,3,,0.732402929,198.81,0.015607 ,14.430700 ,19.251698 ,15.074627 ,29,67,1.01,1.524,1.732,1.874,1,3,N,9.421,8.759,30,39.421,8.759,T,3.07
YLK-1,48,ÂäÒ¶ËÉ,1,,20.6,23.7,13.5,10.2,1,,1.070035485,424.36,0.033312 ,14.430700 ,19.251698 ,15.089394 ,29,66,1.421,1.495,1.287,4.5511,1,,N,3.998,9.447,40,43.998,9.447,T,4.37705
YLK-1,50,ÀäÉ¼,1,,16.2,15.2,4.8,10.4,1,,0.841484216,262.44,0.020602 ,14.430700 ,19.251698 ,15.004615 ,29,65,2.303,2.708,1.822,2.612,1,,N,2.893,5.031,40,42.893,5.031,T,4.7225
YLK-1,52,É«Ä¾,1,,5.3,5.3,1.5,3.8,3,,0.275300392,28.09,0.002205 ,14.430700 ,19.251698 ,14.985938 ,29,64,0.509,1.187,1.28,0.927,5,1,N,4.161,4.434,40,44.161,4.434,T,1.9515
YLK-1,55,ÀäÉ¼,1,,31.2,25.2,9.5,15.7,1,,1.620636268,973.44,0.076415 ,14.430700 ,19.251698 ,15.139683 ,29,63,3.146,1.964,1.931,3.197,1,,N,8.346,3.34,55,58.346,53.34,T,5.119
YLK-1,58,°×èë,1,,11.3,18.8,11.3,7.5,,,0.586961212,127.69,0.010024 ,14.430700 ,19.251698 ,14.880645 ,29,62,0.903,1.221,0.971,0.812,1,,N,9.337,3.792,40,49.337,3.792,T,1.9535
YLK-1,59,°×èë,1,,12.7,18,11.8,6.2,3,,0.659682071,161.29,0.012661 ,14.430700 ,19.251698 ,14.939344 ,29,61,0.442,1.579,1.923,2.462,2,,N,9.721,7.476,40,49.721,7.476,T,3.203
YLK-1,63,ÀäÉ¼,0,21,26.1,23.5,5.7,17.8,1,,1.35572457,681.21,0.053475 ,14.430700 ,19.251698 ,14.976667 ,29,60,2.33,3.463,1.33,3.317,1,,N,6.808,7.725,40,46.808,7.725,T,5.22
YLK-1,65,ÀäÉ¼,1,,18.8,20,4.9,15.1,2,,0.976537238,353.44,0.027745 ,14.430700 ,19.251698 ,14.788136 ,29,59,2.247,1.958,3.903,1.652,1,,N,3.657,8.52,50,53.657,8.52,T,4.88
YLK-1,66,ºìËÉ,1,,8.4,9.3,2.8,6.5,4,,0.436325149,70.56,0.005539 ,14.430700 ,19.251698 ,14.718966 ,29,58,2.347,2.202,2.807,1.485,1,,N,6.66,2.964,50,56.66,2.964,T,4.4205
YLK-1,67,·ãèë,1,,23.3,24.8,11.2,13.6,3,,1.210282854,542.89,0.042617 ,14.430700 ,19.251698 ,14.829825 ,29,57,3.127,4.914,5.203,5.251,2,,N,6.467,3.142,50,56.467,3.142,T,9.2475
YLK-1,69,ºìËÉ,1,,26.8,22.7,8.8,13.9,2,,1.392084999,718.24,0.056382 ,14.430700 ,19.251698 ,14.678571 ,29,56,5.831,5.253,5.97,2.887,1,,Z,3.358,2.257,50,53.358,2.257,T,9.9705
YLK-1,71,·ãèë,1,,8.2,12.1,8.1,4,4,,0.425936455,67.24,0.005278 ,14.430700 ,19.251698 ,14.458182 ,29,55,3.146,1.411,1.851,3.467,1,,N,2.748,2.429,50,52.748,2.429,T,4.9375
YLK-1,72,ÀäÉ¼,1,,6.3,5.1,3,2.1,4,,0.327243862,39.69,0.003116 ,14.430700 ,19.251698 ,14.574074 ,29,54,2.449,2.379,1.964,2.347,1,,N,2.366,2.399,50,52.366,2.399,T,4.5695
YLK-1,74,°×èë,1,,9.2,17.4,9.1,8.3,3,,0.477879925,84.64,0.006644 ,14.430700 ,19.251698 ,14.730189 ,29,53,2.183,7.875,1.93,3.988,1,,N,0.935,0.526,50,50.935,0.526,T,7.988
YLK-1,75,ÂäÒ¶ËÉ,1,,26.4,24.5,13.1,11.4,1,,1.371307611,696.96,0.054711 ,14.430700 ,19.251698 ,14.836538 ,29,52,4.797,3.445,4.298,5.328,1,,N,9.358,2.184,50,59.358,2.184,T,8.934
YLK-1,76,ÔÓÄ¾,1,,10.3,18.6,3,15.6,3,,0.535017742,106.09,0.008328 ,14.430700 ,19.251698 ,14.609804 ,29,51,2.547,3.039,2.617,3.113,2,,N,0.892,4.672,60,60.892,4.672,T,5.658
YLK-1,82,é²Ê÷,1,,6.6,8.2,2.8,5.4,4,,0.342826903,43.56,0.003419 ,14.430700 ,19.251698 ,14.696000 ,29,50,2.541,1.58,2.381,2.707,1,,N,4.365,4.096,60,64.365,4.096,T,4.6045
YLK-1,84,ÔÓÄ¾,0,,7.7,12,2.5,9.5,4,,0.39996472,59.29,0.004654 ,14.430700 ,19.251698 ,14.861224 ,29,49,2.403,1.946,2.932,2.493,2,,N,3.019,3.439,60,63.019,3.439,T,4.887
YLK-1,90,ÀäÉ¼,1,,28.7,24.5,8.6,15.9,3,,1.490777593,823.69,0.064660 ,14.430700 ,19.251698 ,15.010417 ,29,48,2.534,4.115,4.768,5.087,1,,N,9.406,2.394,60,69.406,2.394,T,8.252
YLK-1,92,ÀäÉ¼,1,,23.1,22.8,6.7,16.1,1,,1.19989416,533.61,0.041888 ,14.430700 ,19.251698 ,14.719149 ,29,47,2.217,2.93,3.011,2.382,1,,N,2.237,7.712,70,72.237,7.712,T,5.27
YLK-1,93,ÓÜÊ÷,1,,15.6,21,8.3,12.7,3,,0.810318134,243.36,0.019104 ,14.430700 ,19.251698 ,14.536957 ,29,46,1.798,2.318,1.737,1.936,5,11,N,5.56,8.527,70,75.56,8.527,T,3.8945
YLK-1,95,ÓÜÊ÷,1,,24.7,15.3,10.1,5.2,3,,1.283003712,610.09,0.047892 ,14.430700 ,19.251698 ,14.513333 ,29,45,2.108,6.607,2.128,3.643,1,4,N,5.69,2.098,70,75.69,2.098,T,7.243
YLK-1,96,ÔÓÄ¾,1,,8.9,13.8,9.5,4.3,3,,0.462296884,79.21,0.006218 ,14.430700 ,19.251698 ,14.281818 ,29,44,1.916,2.55,2.367,2.604,2,,N,5.105,0.559,70,75.105,0.559,T,4.7185
YLK-1,99,ÀäÉ¼,1,,6.9,6.2,2.3,3.9,4,,0.358409944,47.61,0.003737 ,14.430700 ,19.251698 ,14.406977 ,29,43,1.896,1.945,1.988,2.309,1,,N,7.314,0.517,70,77.314,0.517,T,4.069
YLK-1,100,ÂäÒ¶ËÉ,1,,20.1,25.9,13.7,12.2,1,,1.04406375,404.01,0.031715 ,14.430700 ,19.251698 ,14.585714 ,29,42,4.616,3.739,3.197,4.295,1,,N,9.657,1.466,70,79.657,1.466,T,7.9235
YLK-1,101,·ãèë,1,,16.6,18.2,13,5.2,2,,0.862261604,275.56,0.021631 ,14.430700 ,19.251698 ,14.451220 ,29,41,2.267,6.342,3.558,2.212,1,,N,1.152,7.71,80,81.152,7.71,T,7.1895
YLK-1,105,°×èë,1,,10.6,15.6,11.2,4.4,3,,0.550600783,112.36,0.008820 ,14.430700 ,19.251698 ,14.397500 ,29,40,1.416,1.302,1.31,2.054,2,,N,3.372,0.423,80,83.372,0.423,T,3.041
YLK-1,106,ÀäÉ¼,1,,19.5,15.8,6.8,9,3,,1.012897668,380.25,0.029850 ,14.430700 ,19.251698 ,14.494872 ,29,39,3.192,3.4,4.521,3.564,1,,N,2.687,9.56,90,92.687,9.56,T,7.3385
YLK-1,107,ÀäÉ¼,1,,7.4,10.8,5.7,5.1,4,,0.384381679,54.76,0.004299 ,14.430700 ,19.251698 ,14.363158 ,29,38,1.368,1.013,1.937,1.056,1,,N,3.04,9.524,90,93.04,9.524,T,2.687
YLK-1,109,·ãèë,1,,18.3,20,10.6,9.4,3,,0.950565503,334.89,0.026289 ,14.430700 ,19.251698 ,14.551351 ,29,37,2.373,3.956,2.996,2.236,1,,N,3.914,8.917,90,93.914,8.917,T,5.7805
YLK-1,110,·ãèë,1,,11.4,15.1,12.8,2.3,3,,0.592155559,129.96,0.010202 ,14.430700 ,19.251698 ,14.447222 ,29,36,2.408,3.989,2.403,2.542,1,,N,3.709,8.194,90,93.709,8.194,T,5.671
YLK-1,111,ÀäÉ¼,1,,18.5,16.8,10.5,6.3,2,,0.960954197,342.25,0.026867 ,14.430700 ,19.251698 ,14.534286 ,29,35,3.168,3.557,3.683,2.301,1,,N,3.429,6.798,90,93.429,6.798,T,6.3545
YLK-1,115,ÔÓÄ¾,0,13.3,10,16.8,4.8,12,4,,0.519434701,100,0.007850 ,14.430700 ,19.251698 ,14.417647 ,29,34,1.958,2.53,1.727,4.599,5,,N,0.279,5.578,90,90.279,5.578,T,5.407
YLK-1,116,ÔÓÄ¾,1,,5.5,11.3,7.6,3.7,4,,0.285689086,30.25,0.002375 ,14.430700 ,19.251698 ,14.551515 ,29,33,1.475,1.658,1.351,2.175,5,,N,0.217,5.414,90,90.217,5.414,T,3.3295
YLK-1,118,ÔÓÄ¾,0,,12.6,16.4,9.3,7.1,4,,0.654487724,158.76,0.012463 ,14.430700 ,19.251698 ,14.834375 ,29,32,2.852,5.126,2.314,2.069,5,,N,0.23,5.52,90,90.23,5.52,T,6.1805
YLK-1,119,ÔÓÄ¾,1,,9.4,16.3,8.3,8,4,,0.488268619,88.36,0.006936 ,14.430700 ,19.251698 ,14.906452 ,29,31,2.271,2.558,1.589,3.141,5,,N,0.001,4.864,90,90.001,4.864,T,4.7795
YLK-1,120,ÔÓÄ¾,1,,5.8,13.5,6.8,6.7,4,,0.301272127,33.64,0.002641 ,14.430700 ,19.251698 ,15.090000 ,29,30,3.954,2.16,3.062,4.54,5,,N,0.731,7.512,90,90.731,7.512,T,6.858
YLK-1,121,é²Ê÷,1,,7.8,12.3,2.9,9.4,3,,0.405159067,60.84,0.004776 ,14.430700 ,19.251698 ,15.410345 ,29,29,3.137,3.062,2.395,2.532,2,,N,1.491,2.268,90,91.491,2.268,T,5.563
YLK-1,122,é²Ê÷,1,,23.5,16.7,5,11.7,3,,1.220671548,552.25,0.043352 ,14.430700 ,19.251698 ,15.682143 ,29,28,4.474,4.882,4.26,4.853,1,,N,1.641,2.305,90,91.641,2.305,T,9.2345
YLK-1,126,·ãèë,1,,23.5,25.4,7.7,17.7,2,,1.220671548,552.25,0.043352 ,14.430700 ,19.251698 ,15.392593 ,29,27,5.331,4.219,4.607,4.783,1,,N,9.771,1.341,90,99.771,1.341,T,9.47
YLK-1,128,ÔÓÄ¾,1,,9,11.4,6.4,5,4,,0.467491231,81,0.006359 ,14.430700 ,19.251698 ,15.080769 ,29,26,2.393,1.71,2.723,2.733,5,,N,7.538,8.134,90,97.538,8.134,T,4.7795
YLK-1,140,ÀäÉ¼,1,,6.8,6.3,1.5,4.8,3,,0.353215597,46.24,0.003630 ,14.430700 ,19.251698 ,15.324000 ,29,25,1.756,1.781,1.639,1.683,1,,N,1.284,9.311,,1.284,19.311,T,3.4295
YLK-1,144,ÀäÉ¼,1,,12.6,8.2,2.4,5.8,4,,0.654487724,158.76,0.012463 ,14.430700 ,19.251698 ,15.679167 ,29,24,1.137,1.785,1.397,1.229,2,,N,5.211,6.219,,5.211,16.219,T,2.774
YLK-1,147,ÀäÉ¼,1,,5.8,4.9,1.4,3.5,4,,0.301272127,33.64,0.002641 ,14.430700 ,19.251698 ,15.813043 ,29,23,1.764,1.343,1.413,1.303,,4,N,7.112,4.115,,7.112,14.115,T,2.9115
YLK-1,153,ºìËÉ,1,,7.2,4.4,3.1,1.3,4,,0.373992985,51.84,0.004069 ,14.430700 ,19.251698 ,16.268182 ,29,22,1.099,1.98,1.472,1.771,1,10,N,2.613,4.527,11,12.613,14.527,T,3.161
YLK-1,154,ÀäÉ¼,1,,17.4,18.6,2.2,16.4,2,,0.90381638,302.76,0.023767 ,14.430700 ,19.251698 ,16.700000 ,29,21,2.535,2.187,2.982,2.517,1,,N,4.181,7.191,11,14.181,17.191,T,5.1105
YLK-1,157,ºìËÉ,1,,14,15,4.1,10.9,4,,0.727208582,196,0.015386 ,14.430700 ,19.251698 ,16.665000 ,29,20,3.911,1.409,3.097,5.11,1,1,B,3.593,1.687,11,13.593,11.687,T,6.7635
YLK-1,158,ºìËÉ,1,,20.3,20.5,7.2,13.3,2,,1.054452444,412.09,0.032349 ,14.430700 ,19.251698 ,16.805263 ,29,19,4.075,1.156,2.968,4.31,1,1,N,3.646,1.667,11,13.646,11.667,T,6.2545
YLK-1,159,ºìËÉ,1,,21.8,21.1,9.2,11.9,2,,1.132367649,475.24,0.037306 ,14.430700 ,19.251698 ,16.611111 ,29,18,2.939,3.292,1.853,1.107,1,1,N,4.959,2.661,11,14.959,12.661,T,4.5955
YLK-1,161,ÀäÉ¼,1,,14.5,15.8,7.4,8.4,3,,0.753180317,210.25,0.016505 ,14.430700 ,19.251698 ,16.305882 ,29,17,2.79,2.846,2.803,2.453,1,,N,7.91,1.361,11,17.91,11.361,T,5.446
YLK-1,163,ÂäÒ¶ËÉ,1,,21.5,16,4.5,11.5,2,,1.116784608,462.25,0.036287 ,14.430700 ,19.251698 ,16.418750 ,29,16,3.789,1.824,1.651,2.539,1,,N,4.567,9.99,21,24.567,19.99,T,4.9015
YLK-1,164,É«Ä¾,1,,17,13.1,6.9,6.2,4,,0.883038992,289,0.022687 ,14.430700 ,19.251698 ,16.080000 ,29,15,0.906,6.198,2.238,2.358,3,,N,4.567,9.094,21,24.567,19.094,T,5.85
YLK-1,167,ÂäÒ¶ËÉ,1,,31.3,27.5,12.4,15.1,1,,1.625830615,979.69,0.076906 ,14.430700 ,19.251698 ,16.014286 ,29,14,2.911,4.938,4.611,2.637,1,,Z,5.758,7.912,21,25.758,17.912,T,7.5485
YLK-1,171,ÂäÒ¶ËÉ,0,,28.5,28,11.8,16.2,1,,1.480388899,812.25,0.063762 ,14.430700 ,19.251698 ,14.838462 ,29,13,3.186,2.108,1.826,3.084,1,3,Z,9.45,4.965,21,29.45,14.965,T,5.102
YLK-1,172,°×èë,1,,31.5,24.6,9.6,15,2,,1.636219309,992.25,0.077892 ,14.430700 ,19.251698 ,13.700000 ,29,12,2.815,5.036,5.883,2.902,4,,N,0.34,7.454,31,30.34,17.454,T,8.318
YLK-1,175,ÔÓÄ¾,1,,7.1,7.2,1.4,5.8,4,,0.368798638,50.41,0.003957 ,14.430700 ,19.251698 ,12.081818 ,29,11,1.867,2.963,2.1513,1.818,5,10,N,2.955,8.401,31,32.955,18.401,T,4.39965
YLK-1,177,ÔÓÄ¾,1,,7,7.5,1.5,6,4,,0.363604291,49,0.003847 ,14.430700 ,19.251698 ,12.580000 ,29,10,1.726,2.509,1.741,1.774,2,,N,4.139,7.283,31,34.139,17.283,T,3.875
YLK-1,180,É«Ä¾,1,,12.9,11.6,1.8,9.8,3,,0.670070765,166.41,0.013063 ,14.430700 ,19.251698 ,13.200000 ,29,9,2.228,1.606,3.708,2.292,2,,N,2.77,4.62,31,32.77,14.62,T,4.917
YLK-1,182,·ãèë,1,,7.5,15.4,10.6,4.8,,,0.389576026,56.25,0.004416 ,14.430700 ,19.251698 ,13.237500 ,29,8,1.032,1.243,1.483,1.204,1,,N,0.513,4.06,41,40.513,14.06,T,2.481
YLK-1,183,·ãèë,1,,12.2,17.5,10.8,6.7,4,,0.633710336,148.84,0.011684 ,14.430700 ,19.251698 ,14.057143 ,29,7,1.954,2.378,1.329,4.544,5,,N,0.453,4.071,41,40.453,14.071,T,5.1025
YLK-1,188,ÀäÉ¼,1,,12.5,13.4,2.3,11.1,3,,0.649293377,156.25,0.012266 ,14.430700 ,19.251698 ,14.366667 ,29,6,2.728,2.98,3.016,1.767,1,,N,0.749,2.957,41,40.749,12.957,T,5.2455
YLK-1,189,ÀäÉ¼,1,,15.9,18.6,14.3,4.3,3,,0.825901175,252.81,0.019846 ,14.430700 ,19.251698 ,14.740000 ,29,5,2.466,2.029,2.163,2.547,1,,N,5.772,3.173,41,45.772,13.173,T,4.6025
YLK-1,191,ÂäÒ¶ËÉ,1,,14.9,16.7,12.1,4.6,3,,0.773957705,222.01,0.017428 ,14.430700 ,19.251698 ,14.450000 ,29,4,1.8,2.95,3.315,2.622,1,,N,8.43,2.261,41,48.43,12.261,T,5.3435
YLK-1,192,ÂäÒ¶ËÉ,1,,20.3,23.8,14.9,8.9,1,,1.054452444,412.09,0.032349 ,14.430700 ,19.251698 ,14.300000 ,29,3,2.667,3.086,4.211,2.557,1,,Z,8.474,4.02,41,48.474,14.02,T,6.2605
YLK-1,193,ÔÓÄ¾£¨Çà£©,1,,8.2,10.5,5.7,4.8,4,,0.425936455,67.24,0.005278 ,14.430700 ,19.251698 ,11.300000 ,29,2,2.804,2.2,1.132,3.757,2,,N,5.849,7.365,41,45.849,17.365,T,4.9465
YLK-1,198,·ãèë,1,,14.4,21.3,10.8,10.5,3,,0.74798597,207.36,0.016278 ,14.430700 ,19.251698 ,14.400000 ,29,1,0.757,3.196,5.028,1.051,5,,N,2.892,5.45,51,52.892,15.45,T,5.016
YLK-2,1,ÔÓÄ¾,1,,7.2,12.9,5.2,7.7,3,,0.396065965,51.84,0.00406944,13.74914,18.17879,15.74132,28,530,1.773,0.97,1.964,0.974,3,,N,2.264,1.833,,2.264,1.833,T,2.8405
YLK-2,2,ºìËÉ,1,,43.7,25.1,7.6,17.5,1,,2.40390037,1909.69,0.149910665,13.74914,18.17879,15.74132,28,530,2.919,3.812,2.012,2.795,1,,Z,3.09,1.625,,3.09,1.625,T,5.769
YLK-2,3,ÀäÉ¼,1,,15.9,16.4,10.2,6.2,3,,0.874645672,252.81,0.019845585,13.74914,18.17879,15.74132,28,530,1.957,1.508,1.621,1.276,1,,N,3.086,3.588,,3.086,3.588,T,3.181
YLK-2,4,é²Ê÷,1,,8.8,13.4,5.9,7.5,,,0.484080624,77.44,0.00607904,13.74914,18.17879,15.74132,28,530,2.992,0.553,1.063,1.462,1,,N,1.344,0.01,,1.344,0.01,T,3.035
YLK-2,5,é²Ê÷,1,,15.5,10.2,6.6,3.6,3,,0.852642008,240.25,0.018859625,13.74914,18.17879,15.74132,28,530,1.173,2.732,1.388,1.271,2,,N,7.234,0.765,,7.234,0.765,T,3.282
YLK-2,9,ÔÓÄ¾,1,,12.5,15,5.3,9.7,3,,0.687614522,156.25,0.012265625,13.74914,18.17879,15.74132,28,530,3.494,1.85,3.096,2.513,3,,N,4.758,2.092,,14.758,2.092,T,5.4765
YLK-2,11,ÔÆÉ¼,1,,6.1,5.9,4.5,1.4,4,,0.335555887,37.21,0.002920985,13.74914,18.17879,15.74132,28,530,0.944,1.145,0.639,0.671,1,,N,7.437,4.376,,17.437,4.376,T,1.6995
YLK-2,13,é²Ê÷,1,,11.5,15.5,6.3,9.2,3,,0.63260536,132.25,0.010381625,13.74914,18.17879,15.74132,28,530,0.769,0.827,0.829,1.359,2,,N,6.771,5.877,,16.771,5.877,T,1.892
YLK-2,14,é²Ê÷,1,,18.4,17.7,10.1,7.6,3,,1.012168577,338.56,0.02657696,13.74914,18.17879,15.74132,28,530,1.8,2.218,1.913,2.002,1,,N,9.011,5.293,,19.011,5.293,T,3.9665
YLK-2,16,ÀäÉ¼,0,20.5,35.5,24.4,8.9,15.5,1,,1.952825243,1260.25,0.098929625,13.74914,18.17879,15.74132,28,530,2.423,1.407,1.804,2.818,3,,N,7.756,8.194,,27.756,8.194,T,4.226
YLK-2,21,ÔÓÄ¾,1,,6.6,11.5,5.1,6.4,,,0.363060468,43.56,0.00341946,13.74914,18.17879,15.74132,28,530,2.001,1.675,1.255,1.801,5,,N,6.502,0.286,,26.502,0.286,T,3.366
YLK-2,23,ÂäÒ¶ËÉ,0,20.3,20.1,26.5,15.9,10.6,1,,1.105684152,404.01,0.031714785,13.74914,18.17879,15.74132,28,530,1.583,2.278,2.316,0.659,1,,N,8.035,5.05,,28.035,5.05,T,3.418
YLK-2,24,ÂäÒ¶ËÉ,0,,25,26.4,15.4,11,1,,1.375229044,625,0.0490625,13.74914,18.17879,15.74132,28,530,0.924,2.967,0.711,2.885,1,,N,8.036,5.04,,28.036,5.04,T,3.7435
YLK-2,25,ÀäÉ¼,1,,31.7,23.3,6.2,17.1,1,,1.743790428,1004.89,0.078883865,13.74914,18.17879,15.74132,28,530,1.547,2.611,1.573,2.697,1,4,N,4.278,6.664,,24.278,6.664,T,4.214
YLK-2,27,ÀäÉ¼,1,,23.2,26.4,15.3,11.1,1,,1.276212553,538.24,0.04225184,13.74914,18.17879,15.74132,28,530,2.247,1.518,1.976,1.37,1,,N,2.092,7.907,,22.092,7.907,T,3.5555
YLK-2,28,·ãèë,1,,18.9,23.2,15.2,8,2,,1.039673158,357.21,0.028040985,13.74914,18.17879,15.74132,28,530,1.663,1.528,1.494,1.915,1,,N,8.193,9.9,,28.193,9.9,T,3.3
YLK-2,29,ÀäÉ¼,1,,19.8,21.9,9.5,12.4,2,,1.089181403,392.04,0.03077514,13.74914,18.17879,15.74132,28,530,2.096,1.776,1.873,1.909,1,,N,6.074,9.115,,26.074,9.115,T,3.827
YLK-2,31,é²Ê÷,1,,5.9,7.6,1.8,5.8,3,,0.324554054,34.81,0.002732585,13.74914,18.17879,15.74132,28,530,2.234,1.119,1.834,1.855,2,,N,4.111,9.964,,24.111,9.964,T,3.521
YLK-2,35,ÂäÒ¶ËÉ,0,22.3,28.2,25.9,11.3,14.6,1,,1.551258362,795.24,0.06242634,13.74914,18.17879,15.74132,28,530,2.249,2.346,2.677,3.228,1,,Z,8.457,2.552,,38.457,2.552,T,5.25
YLK-2,38,ÑîÊ÷,1,,27.6,32.7,17.2,15.5,1,,1.518252865,761.76,0.05979816,13.74914,18.17879,15.74132,28,530,2.833,2.051,2.453,1.693,1,,Z,0.24,5.307,,40.24,5.307,T,4.515
YLK-2,45,ÔÓÄ¾,1,,5.4,7.1,2.7,4.4,3,,0.297049474,29.16,0.00228906,13.74914,18.17879,15.74132,28,530,1.833,0.756,1.927,1.978,2,,N,7.488,6.096,,47.488,6.096,T,3.247
YLK-2,47,·ãèë,1,,13.7,17.8,7,10.8,3,,0.753625516,187.69,0.014733665,13.74914,18.17879,15.74132,28,530,2.112,1.389,2.179,1.301,1,,N,8.65,6.575,,48.65,6.575,T,3.4905
YLK-2,49,ÔÓÄ¾,1,,7.3,9.4,5.5,3.9,3,,0.401566881,53.29,0.004183265,13.74914,18.17879,15.74132,28,530,2.664,2.704,0.782,0.947,1,,N,9.564,8.245,,49.564,8.245,T,3.5485
YLK-2,51,é²Ê÷,1,,6.1,10,3.5,6.5,3,,0.335555887,37.21,0.002920985,13.74914,18.17879,15.74132,28,530,1.44,1.492,1.123,1.906,2,,N,4.844,1.392,,54.844,1.392,T,2.9805
