plot,tree,DBH,Height,CBH,life,CW_E,CW_S,CW_W,CW_N,x,y,SD,CLR,CW,CW_EW,CW_SN,Age Group
13,бДр╤ки,2.7,3.2,0.73,а╪,1.1,0.91,0.8,0.645,0.4,1.9,1144.444444,0.77,1.7275,1.9,1.555,сваДаж
35,бДр╤ки,2.7,2.8,0.3,а╪,0.75,1.23,0.95,0.88,1.5,7.1,1733.333333,0.89,1.905,1.7,2.11,сваДаж
1,бДр╤ки,2.8,4,2.5,╩Н,1.6,0.668,0.626,0.745,8.48,3.42,2344.444444,0.38,1.8195,2.226,1.413,сваДаж
4,бДр╤ки,2.8,5.7,2.6,а╪,0.39,0.37,1.1,2.15,6.4,9,2155.555556,0.54,2.005,1.49,2.52,сваДаж
7,бДр╤ки,2.8,3.8,0.2,а╪,1.09,1.74,1.26,1.1,5.6,6.9,766.6666667,0.95,2.595,2.35,2.84,сваДаж
8,бДр╤ки,2.8,2.5,0.2,а╪,1.109,1.419,0.342,0.768,7.5,5.7,1344.444444,0.92,1.819,1.451,2.187,сваДаж
9,бДр╤ки,2.8,2.7,0.3,а╪,1.484,1.157,0.947,0.798,5,4.7,600,0.89,2.193,2.431,1.955,сваДаж
10,бДр╤ки,2.8,3.2,0.3,а╪,0.66,0.93,1,0.86,5.9,9.2,911.1111111,0.91,1.725,1.66,1.79,сваДаж
13,бДр╤ки,2.8,2.1,0.3,а╪,0.7,0.8,0.7,1.2,2.4,5,1144.444444,0.86,1.7,1.4,2,сваДаж
13,бДр╤ки,2.8,2.1,0.5,а╪,0.376,0.96,0.75,0.612,9.8,3,1144.444444,0.76,1.349,1.126,1.572,сваДаж
23,бДр╤ки,2.8,2.4,0.1,а╪,0.8,0.2,0.6,0.4,3.3,1.7,700,0.96,1,1.4,0.6,сваДаж
23,бДр╤ки,2.8,2.6,0.3,а╪,0.4,0.3,0.3,0.2,3.1,7.1,700,0.88,0.6,0.7,0.5,сваДаж
35,бДр╤ки,2.8,3,0.2,а╪,0.82,0.56,0.56,1.32,1.5,7.4,1733.333333,0.93,1.63,1.38,1.88,сваДаж
37,бДр╤ки,2.8,1.8,0.2,а╪,0.8,0.86,0.55,0.34,2.1,8.4,1644.444444,0.89,1.275,1.35,1.2,сваДаж
40,бДр╤ки,2.8,5,0.3,а╪,1.53,1.48,1.64,1.45,3.3,3.6,511.1111111,0.94,3.05,3.17,2.93,сваДаж
11,бДр╤ки,2.9,2.6,0.3,а╪,0.967,1.16,1.033,1,2.1,5.2,722.2222222,0.88,2.08,2,2.16,сваДаж
11,бДр╤ки,2.9,1.9,0.8,а╪,1.028,1.19,0.67,0.782,2.2,5.2,722.2222222,0.58,1.835,1.698,1.972,сваДаж
12,бДр╤ки,2.9,3.4,0.3,а╪,1.58,1.34,1.052,0.838,8,2,555.5555556,0.91,2.405,2.632,2.178,сваДаж
13,бДр╤ки,2.9,2.3,0.2,а╪,1.095,0.96,0.72,0.759,1.7,0.5,1144.444444,0.91,1.767,1.815,1.719,сваДаж
21,бДр╤ки,2.9,3.2,0.8,а╪,0.76,0.72,0.78,1.01,6.6,7.2,1955.555556,0.75,1.635,1.54,1.73,сваДаж
23,бДр╤ки,2.9,2.6,0.2,а╪,0.826,0.739,0.653,0.761,7.8,2.2,700,0.92,1.4895,1.479,1.5,сваДаж
23,бДр╤ки,2.9,2.9,0.3,а╪,0.5,1,0.7,0.5,6.9,8.2,700,0.9,1.35,1.2,1.5,сваДаж
23,бДр╤ки,2.9,2.8,0.4,а╪,1.2,0.7,0.9,0.8,6.3,0.3,700,0.86,1.8,2.1,1.5,сваДаж
41,бДр╤ки,2.9,3.7,0.2,а╪,0.84,1.35,1.15,1.35,9,5.5,1522.222222,0.95,2.345,1.99,2.7,сваДаж
1,бДр╤ки,3,4.1,3.1,╩Н,1.192,1.128,2.119,0.702,3.852,6.302,2344.444444,0.24,2.5705,3.311,1.83,сваДаж
3,бДр╤ки,3,3.6,0.1,а╪,0.8,1.148,0.85,0.92,0.8,5.4,1477.777778,0.97,1.859,1.65,2.068,сваДаж
5,бДр╤ки,3,3.3,0.5,а╪,1.135,1.451,0.567,0.891,2.6,8.3,1377.777778,0.85,2.022,1.702,2.342,сваДаж
7,бДр╤ки,3,2.7,0.3,а╪,1.33,1.36,1.34,1.45,0.9,1.5,766.6666667,0.89,2.74,2.67,2.81,сваДаж
8,бДр╤ки,3,4,0.5,а╪,1.12,1.42,0.396,0.859,3.4,3.4,1344.444444,0.88,1.8975,1.516,2.279,сваДаж
8,бДр╤ки,3,3.8,0.2,а╪,1.65,1.73,1.63,1.74,6.1,9.2,1344.444444,0.95,3.375,3.28,3.47,сваДаж
10,бДр╤ки,3,3.9,0.2,а╪,1.54,1.68,1.64,1.66,1.1,9.2,911.1111111,0.95,3.26,3.18,3.34,сваДаж
11,бДр╤ки,3,2.5,0.4,а╪,0.629,1.04,1.02,0.59,3.8,9.5,722.2222222,0.84,1.6395,1.649,1.63,сваДаж
12,бДр╤ки,3,3.1,0.5,а╪,1.28,1.11,0.936,0.791,8.8,7.5,555.5555556,0.84,2.0585,2.216,1.901,сваДаж
13,бДр╤ки,3,2.4,0.3,а╪,1.4,1.2,1,0.4,0.9,7.5,1144.444444,0.88,2,2.4,1.6,сваДаж
23,бДр╤ки,3,3.4,0.3,а╪,0.7,0.7,0.6,0.4,6.3,7.1,700,0.91,1.2,1.3,1.1,сваДаж
23,бДр╤ки,3,2.7,0.2,а╪,0.8,0.2,0.7,0.4,6.9,7.3,700,0.93,1.05,1.5,0.6,сваДаж
23,бДр╤ки,3,2.3,1,а╪,1.1,0.4,0.6,0.9,8.9,3.3,700,0.57,1.5,1.7,1.3,сваДаж
35,бДр╤ки,3,4.2,0.6,а╪,1.56,1.97,1.82,0.8,7.9,4.5,1733.333333,0.86,3.075,3.38,2.77,сваДаж
37,бДр╤ки,3,1.9,0.3,а╪,0.76,0.58,0.68,0.71,8.9,1.6,1644.444444,0.84,1.365,1.44,1.29,сваДаж
46,бДр╤ки,3,4,1.3,а╪,0.97,1.21,1.25,1.16,7,4.8,1655.555556,0.68,2.295,2.22,2.37,сваДаж
5,бДр╤ки,3.1,3.7,0.3,а╪,1.087,1.355,0.402,0.968,5.6,9.3,1377.777778,0.92,1.906,1.489,2.323,сваДаж
5,бДр╤ки,3.1,3.9,0.4,а╪,1.2,0.6,0.6,1.1,7.2,9.1,1377.777778,0.9,1.75,1.8,1.7,сваДаж
8,бДр╤ки,3.1,2.8,0.3,а╪,1.05,1.6,1.9,0.83,4.6,3.3,1344.444444,0.89,2.69,2.95,2.43,сваДаж
13,бДр╤ки,3.1,2.8,0.6,а╪,0.532,0.94,1.15,0.509,7.5,3,1144.444444,0.79,1.5655,1.682,1.449,сваДаж
23,бДр╤ки,3.1,2,0.2,а╪,1,0.8,0.9,0.4,7.4,8,700,0.9,1.55,1.9,1.2,сваДаж
23,бДр╤ки,3.1,3.3,0.2,а╪,1.8,0.3,0.8,0.5,6.2,6.3,700,0.94,1.7,2.6,0.8,сваДаж
23,бДр╤ки,3.1,3.5,0.3,а╪,1.5,0.6,0.7,0.9,2.3,5.8,700,0.91,1.85,2.2,1.5,сваДаж
35,бДр╤ки,3.1,2.9,0.3,а╪,1.5,1.55,0.96,1.46,2.3,3.8,1733.333333,0.9,2.735,2.46,3.01,сваДаж
37,бДр╤ки,3.1,3.2,0.2,а╪,1.1,0.8,1.1,1.03,7.6,8.8,1644.444444,0.94,2.015,2.2,1.83,сваДаж
74,бДр╤ки,3.1,5.1,1.1,а╪,1.3,2.1,0.9,1,0,0,1566.666667,0.78,2.65,2.2,3.1,сваДаж
1,бДр╤ки,3.2,5.5,2.3,а╪,0.6,1.1,0.8,0.6,3.5,5.5,2344.444444,0.58,1.55,1.4,1.7,сваДаж
3,бДр╤ки,3.2,3.3,0.4,а╪,0.86,1,0.99,0.76,4.5,9,1477.777778,0.88,1.805,1.85,1.76,сваДаж
8,бДр╤ки,3.2,3.5,0.3,а╪,0.959,1.066,1.095,0.922,4.7,2.3,1344.444444,0.91,2.021,2.054,1.988,сваДаж
8,бДр╤ки,3.2,4,0.2,а╪,1.27,1.72,1.52,1.34,8.2,2.9,1344.444444,0.95,2.925,2.79,3.06,сваДаж
11,бДр╤ки,3.2,3.1,0.8,а╪,0.927,1,0.74,0.597,0.3,9.9,722.2222222,0.74,1.632,1.667,1.597,сваДаж
13,бДр╤ки,3.2,2.8,0.4,а╪,0.829,0.85,0.98,0.886,0.5,7.2,1144.444444,0.86,1.7725,1.809,1.736,сваДаж
13,бДр╤ки,3.2,4,0.86,а╪,0.727,1.45,1.31,1.52,6.1,1.9,1144.444444,0.78,2.5035,2.037,2.97,сваДаж
14,бДр╤ки,3.2,3.3,0.8,а╪,1.11,0.69,1.06,1.01,1.3,8,1022.222222,0.76,1.935,2.17,1.7,сваДаж
21,бДр╤ки,3.2,3.6,0.8,а╪,0.94,0.95,1.04,1.12,5.8,7,1955.555556,0.78,2.025,1.98,2.07,сваДаж
23,бДр╤ки,3.2,2.7,0.2,а╪,0.878,0.569,0.718,0.505,2.6,0.9,700,0.93,1.335,1.596,1.074,сваДаж
23,бДр╤ки,3.2,2.5,0.2,а╪,1.2,0.8,1.2,0.6,4.8,7.5,700,0.92,1.9,2.4,1.4,сваДаж
33,бДр╤ки,3.2,3.4,1.2,а╪,0.5,0.97,0.5,0.56,5.4,5.4,1766.666667,0.65,1.265,1,1.53,сваДаж
35,бДр╤ки,3.2,3.6,0.3,а╪,0.5,0.6,1.28,1.34,4,7.4,1733.333333,0.92,1.86,1.78,1.94,сваДаж
35,бДр╤ки,3.2,3.5,0.2,а╪,1.85,1.77,1.51,1.28,6.3,7.2,1733.333333,0.94,3.205,3.36,3.05,сваДаж
35,бДр╤ки,3.2,2.8,0.4,а╪,1.38,1.5,1.44,1.45,0.6,8.3,1733.333333,0.86,2.885,2.82,2.95,сваДаж
42,бДр╤ки,3.2,3.9,1.9,а╪,0.69,0.9,1.02,0.6,7.6,7.7,2288.888889,0.51,1.605,1.71,1.5,сваДаж
19,бДр╤ки,3.3,3.3,0.6,а╪,0.94,1.176,1.271,0.884,6.7,0.2,766.6666667,0.82,2.1355,2.211,2.06,сваДаж
23,бДр╤ки,3.3,2.5,0.2,а╪,1.108,0.446,1.62,0.57,1.1,5.9,700,0.92,1.872,2.728,1.016,сваДаж
23,бДр╤ки,3.3,1.8,0.2,а╪,0.8,0.5,0.9,0.6,3,1.3,700,0.89,1.4,1.7,1.1,сваДаж
23,бДр╤ки,3.3,3.4,0.2,а╪,0.9,1.2,0.9,0.7,0.7,2.1,700,0.94,1.85,1.8,1.9,сваДаж
23,бДр╤ки,3.3,2.7,0.3,а╪,1.3,1.2,0.9,0.5,5.7,6.5,700,0.89,1.95,2.2,1.7,сваДаж
23,бДр╤ки,3.3,3.2,0.2,а╪,2.9,0.5,1,1.1,8.3,5.6,700,0.94,2.75,3.9,1.6,сваДаж
23,бДр╤ки,3.3,2.7,0.2,а╪,1.1,0.4,1.4,0.9,4.6,4.6,700,0.93,1.9,2.5,1.3,сваДаж
23,бДр╤ки,3.3,3.7,0.3,а╪,1.1,0.7,1.1,0.8,0.7,3.8,700,0.92,1.85,2.2,1.5,сваДаж
33,бДр╤ки,3.3,5.4,1.7,а╪,1.23,0.8,0.62,0.75,8.1,5.3,1766.666667,0.69,1.7,1.85,1.55,сваДаж
35,бДр╤ки,3.3,3.1,0.5,а╪,1.55,1.13,0.9,1.71,3.7,5.5,1733.333333,0.84,2.645,2.45,2.84,сваДаж
35,бДр╤ки,3.3,3.2,0.2,а╪,1.87,1.66,1.31,1.38,6.2,7.1,1733.333333,0.94,3.11,3.18,3.04,сваДаж
35,бДр╤ки,3.3,3.3,0.5,а╪,1.45,1.44,1.2,0.6,0.4,8.1,1733.333333,0.85,2.345,2.65,2.04,сваДаж
3,бДр╤ки,3.4,5,1,а╪,0.6,1.06,0.81,0.86,9.9,3.6,1477.777778,0.8,1.665,1.41,1.92,сваДаж
5,бДр╤ки,3.4,3.6,0.2,а╪,1.517,1.363,0.883,1.254,6.3,3.6,1377.777778,0.94,2.5085,2.4,2.617,сваДаж
7,бДр╤ки,3.4,4.8,0.3,а╪,1.33,1.84,2.18,1.19,1.4,1.8,766.6666667,0.94,3.27,3.51,3.03,сваДаж
7,бДр╤ки,3.4,5.9,0.3,а╪,1.31,2.04,2.13,1.01,1.7,9.6,766.6666667,0.95,3.245,3.44,3.05,сваДаж
8,бДр╤ки,3.4,5.6,0.6,а╪,0.998,1.475,0.466,0.846,9.6,1.5,1344.444444,0.89,1.8925,1.464,2.321,сваДаж
8,бДр╤ки,3.4,3.5,0.6,а╪,1.144,1.15,0.88,0.399,7,6.3,1344.444444,0.83,1.7865,2.024,1.549,сваДаж
8,бДр╤ки,3.4,3.2,0.5,а╪,0.749,1.105,0.816,1.12,0.1,1.6,1344.444444,0.84,1.895,1.565,2.225,сваДаж
9,бДр╤ки,3.4,3.5,0.3,а╪,1.057,1.036,0.893,0.545,1.4,5.1,600,0.91,1.7655,1.95,1.581,сваДаж
9,бДр╤ки,3.4,3.3,0.5,а╪,1.752,0.77,1.41,0.847,2.2,6.8,600,0.85,2.3895,3.162,1.617,сваДаж
13,бДр╤ки,3.4,2.7,0.66,а╪,0.9,2.11,0.92,1.072,6.2,1.7,1144.444444,0.76,2.501,1.82,3.182,сваДаж
13,бДр╤ки,3.4,2.8,0.6,а╪,0.99,1.21,1.1,0.843,0.8,9.1,1144.444444,0.79,2.0715,2.09,2.053,сваДаж
14,бДр╤ки,3.4,2.9,0.8,а╪,1.02,1.01,0.45,1.1,9,5.6,1022.222222,0.72,1.79,1.47,2.11,сваДаж
21,бДр╤ки,3.4,3.5,1.3,а╪,0.91,0.68,1.56,1.73,8,5,1955.555556,0.63,2.44,2.47,2.41,сваДаж
23,бДр╤ки,3.4,2.6,0.2,а╪,1.2,0.4,1.1,0.7,3.5,7.1,700,0.92,1.7,2.3,1.1,сваДаж
23,бДр╤ки,3.4,3.4,0.4,а╪,0.9,1.5,0.5,1,4.5,2.1,700,0.88,1.95,1.4,2.5,сваДаж
33,бДр╤ки,3.4,3.2,1.2,а╪,1.27,1.5,0.99,1.02,1.4,9.1,1766.666667,0.62,2.39,2.26,2.52,сваДаж
35,бДр╤ки,3.4,2.5,0.3,а╪,1.87,1.38,1.32,1.35,5,8.3,1733.333333,0.88,2.96,3.19,2.73,сваДаж
35,бДр╤ки,3.4,3.6,0.3,а╪,1.51,1.55,1.38,1.45,4.1,8.7,1733.333333,0.92,2.945,2.89,3,сваДаж
37,бДр╤ки,3.4,3.9,0.3,а╪,0.93,1.2,1.99,1.34,0.2,7.5,1644.444444,0.92,2.73,2.92,2.54,сваДаж
44,бДр╤ки,3.4,11.5,6.6,а╪,1.8,1.5,1.2,1.7,8.8,8.9,1977.777778,0.43,3.1,3,3.2,сваДаж
45,бДр╤ки,3.4,3.5,0.7,а╪,1.34,0.86,0.83,0.85,9.4,8.4,1466.666667,0.8,1.94,2.17,1.71,сваДаж
74,бДр╤ки,3.4,4.8,3.4,а╪,0.8,1,1.3,1.4,0,0,1566.666667,0.29,2.25,2.1,2.4,сваДаж
3,бДр╤ки,3.5,4.2,0.3,а╪,1.2,1.12,1.1,0.78,7.4,4.7,1477.777778,0.93,2.1,2.3,1.9,сваДаж
4,бДр╤ки,3.5,6.7,4.1,а╪,0.54,0.4,1.3,1.4,2,8.5,2155.555556,0.39,1.82,1.84,1.8,сваДаж
4,бДр╤ки,3.5,4.1,0.5,а╪,0.67,0.59,0.98,1.35,0.8,6.6,2155.555556,0.88,1.795,1.65,1.94,сваДаж
4,бДр╤ки,3.5,5.4,2.3,а╪,0.83,1.27,1.31,1.53,9.8,6.4,2155.555556,0.57,2.47,2.14,2.8,сваДаж
5,бДр╤ки,3.5,5.5,0.3,а╪,1.116,1.531,0.966,1.09,8.2,2.7,1377.777778,0.95,2.3515,2.082,2.621,сваДаж
5,бДр╤ки,3.5,4.7,0.5,а╪,1.134,1.539,0.55,0.9,3.4,8.6,1377.777778,0.89,2.0615,1.684,2.439,сваДаж
5,бДр╤ки,3.5,4.4,0.2,а╪,1.749,1.81,0.1,0.589,0.8,7.9,1377.777778,0.95,2.124,1.849,2.399,сваДаж
8,бДр╤ки,3.5,3.8,0.4,а╪,0.931,0.977,0.316,0.756,9.7,4.6,1344.444444,0.89,1.49,1.247,1.733,сваДаж
8,бДр╤ки,3.5,3.9,0.5,а╪,0.912,0.893,0.571,0.961,4.4,1.7,1344.444444,0.87,1.6685,1.483,1.854,сваДаж
11,бДр╤ки,3.5,2.7,0.8,а╪,1.088,1.34,1.75,0.817,2.2,5.2,722.2222222,0.7,2.4975,2.838,2.157,сваДаж
11,бДр╤ки,3.5,3,0.4,а╪,0.43,1.12,1.06,0.774,6.1,1.7,722.2222222,0.87,1.692,1.49,1.894,сваДаж
13,бДр╤ки,3.5,2.4,0.2,а╪,0.361,1.1,1.07,0.642,0.6,2.8,1144.444444,0.92,1.5865,1.431,1.742,сваДаж
21,бДр╤ки,3.5,2.9,0.8,а╪,1.24,1.63,1.18,0.61,8,5,1955.555556,0.72,2.33,2.42,2.24,сваДаж
23,бДр╤ки,3.5,3.1,0.3,а╪,1.164,0.928,1.52,0.97,0.6,5.8,700,0.9,2.291,2.684,1.898,сваДаж
23,бДр╤ки,3.5,3.2,0.2,а╪,0,0.9,0.9,0.6,3,5.5,700,0.94,1.2,0.9,1.5,сваДаж
23,бДр╤ки,3.5,3.2,0.2,а╪,1.4,1.3,0.8,0.6,0.4,0.2,700,0.94,2.05,2.2,1.9,сваДаж
28,бДр╤ки,3.5,3.85,1.8,а╪,0.9,0.92,1.17,1.17,5.1,4.8,1466.666667,0.53,2.08,2.07,2.09,сваДаж
28,бДр╤ки,3.5,3.9,1.7,а╪,0.94,0.84,0.89,0.68,7.5,0.8,1466.666667,0.56,1.675,1.83,1.52,сваДаж
35,бДр╤ки,3.5,3.5,0.3,а╪,1.52,1.69,1.51,1.42,4.6,8.1,1733.333333,0.91,3.07,3.03,3.11,сваДаж
41,бДр╤ки,3.5,6.4,0.4,а╪,1.11,0.66,1.03,0.98,4.4,5,1522.222222,0.94,1.89,2.14,1.64,сваДаж
59,бДр╤ки,3.5,4.2,0.9,а╪,0.6,0.6,0.7,0.6,0,0,2155.555556,0.79,1.25,1.3,1.2,сваДаж
1,бДр╤ки,3.6,3.1,1.4,а╪,1.8,1.2,1.8,1.1,5.2,3.2,2344.444444,0.55,2.95,3.6,2.3,сваДаж
3,бДр╤ки,3.6,4.3,0.5,а╪,1.116,1.264,1.04,0.994,2.6,9.2,1477.777778,0.88,2.207,2.156,2.258,сваДаж
3,бДр╤ки,3.6,4.2,0.4,а╪,1.057,1.048,0.79,1.02,5,2.2,1477.777778,0.9,1.9575,1.847,2.068,сваДаж
5,бДр╤ки,3.6,3.6,0.3,а╪,1,1.4,0.6,1,4.1,2.7,1377.777778,0.92,2,1.6,2.4,сваДаж
5,бДр╤ки,3.6,3.6,0.5,а╪,1.1,1.2,1.8,1.1,8.5,8.9,1377.777778,0.86,2.6,2.9,2.3,сваДаж
8,бДр╤ки,3.6,5.1,1,а╪,0.976,0.74,0.471,0.824,0.8,2.6,1344.444444,0.8,1.5055,1.447,1.564,сваДаж
14,бДр╤ки,3.6,4.6,0.6,а╪,1.2,0.2,3.4,1.4,0.3,2.6,1022.222222,0.87,3.1,4.6,1.6,сваДаж
23,бДр╤ки,3.6,2.9,0.3,а╪,0.759,1.336,1.27,1.587,5.5,7.9,700,0.9,2.476,2.029,2.923,сваДаж
23,бДр╤ки,3.6,3.9,0.2,а╪,1.2,0.6,0.6,1,8.5,5.1,700,0.95,1.7,1.8,1.6,сваДаж
23,бДр╤ки,3.6,3.1,0.2,а╪,1.1,0.7,1.1,1,5.5,7.3,700,0.94,1.95,2.2,1.7,сваДаж
23,бДр╤ки,3.6,2.4,0.3,а╪,1.4,0.4,1,0.5,7.9,7.8,700,0.88,1.65,2.4,0.9,сваДаж
23,бДр╤ки,3.6,3.5,0.3,а╪,1.3,0.8,1.6,0.5,2.2,5.4,700,0.91,2.1,2.9,1.3,сваДаж
23,бДр╤ки,3.6,3.2,0.3,а╪,0.9,0.5,1.1,0.5,5.2,2.2,700,0.91,1.5,2,1,сваДаж
37,бДр╤ки,3.6,3.7,0.3,а╪,1.2,0.3,0.89,1.2,7.2,1.3,1644.444444,0.92,1.795,2.09,1.5,сваДаж
3,бДр╤ки,3.7,3.3,0.4,а╪,0.83,0.887,1.14,0.7,0.6,5.4,1477.777778,0.88,1.7785,1.97,1.587,сваДаж
6,бДр╤ки,3.7,2.9,0.3,а╪,1.47,1.15,1.81,1.76,7.1,5.5,1044.444444,0.9,3.095,3.28,2.91,сваДаж
7,бДр╤ки,3.7,2.8,0.3,а╪,1.24,1.62,1.91,1.35,1,1.5,766.6666667,0.89,3.06,3.15,2.97,сваДаж
11,бДр╤ки,3.7,2.8,0.6,а╪,0.868,0.97,0.67,0.577,8.5,5.2,722.2222222,0.79,1.5425,1.538,1.547,сваДаж
12,бДр╤ки,3.7,3.8,0.4,а╪,2.22,1.85,1.237,1.061,2.5,5.1,555.5555556,0.89,3.184,3.457,2.911,сваДаж
13,бДр╤ки,3.7,3.2,0.4,а╪,0.883,1.16,1.23,0.834,2.6,7,1144.444444,0.88,2.0535,2.113,1.994,сваДаж
23,бДр╤ки,3.7,3.8,0.2,а╪,1.2,0.5,0.8,0.4,9.9,6.2,700,0.95,1.45,2,0.9,сваДаж
23,бДр╤ки,3.7,2.8,0.2,а╪,1,0.9,0.7,1.2,6.7,2.6,700,0.93,1.9,1.7,2.1,сваДаж
33,бДр╤ки,3.7,3.9,1.1,а╪,0.47,0.97,0.4,0.74,5.3,5.5,1766.666667,0.72,1.29,0.87,1.71,сваДаж
35,бДр╤ки,3.7,4,0.3,а╪,1.11,0.9,0.77,0.65,1.8,4.5,1733.333333,0.92,1.715,1.88,1.55,сваДаж
83,бДр╤ки,3.7,2.2,0.8,а╪,1.4,1.2,1.1,0.6,0,0,555.5555556,0.64,2.15,2.5,1.8,сваДаж
1,бДр╤ки,3.8,3.5,3,╩Н,0.768,0.685,1.786,0.772,7.58,3.52,2344.444444,0.14,2.0055,2.554,1.457,сваДаж
1,бДр╤ки,3.8,3.7,2.5,а╪,1.2,0.8,0.8,1.2,5.3,4.3,2344.444444,0.32,2,2,2,сваДаж
1,бДр╤ки,3.8,4.2,1.8,а╪,1.1,1.2,1.3,1.2,4.8,8.6,2344.444444,0.57,2.4,2.4,2.4,сваДаж
4,бДр╤ки,3.8,7.8,2,а╪,0.61,0.84,1.57,1.67,8.4,1.9,2155.555556,0.74,2.345,2.18,2.51,сваДаж
5,бДр╤ки,3.8,3.4,0.3,а╪,1.4,1.8,0.6,0.9,3.5,2.7,1377.777778,0.91,2.35,2,2.7,сваДаж
6,бДр╤ки,3.8,3.9,0.3,а╪,1.2,1.74,1.68,1.43,9,2.7,1044.444444,0.92,3.025,2.88,3.17,сваДаж
6,бДр╤ки,3.8,3,0.2,а╪,1.28,1.54,1.87,1.34,7.6,7,1044.444444,0.93,3.015,3.15,2.88,сваДаж
7,бДр╤ки,3.8,2.7,0.4,а╪,1.39,1.29,1.45,1.19,0.1,2.2,766.6666667,0.85,2.66,2.84,2.48,сваДаж
